Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_69.npz
Test data:     data/acic/acic_1-10_test_setting_69.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
100	Obj: 21.581,	F: 5.217,	Cf: 5.131,	Imb: 0.00085,	Val: 4.745,	ValImb: 0.0008,	ValObj: 17.50
200	Obj: 21.003,	F: 5.159,	Cf: 5.239,	Imb: 0.026,	Val: 4.645,	ValImb: 0.014,	ValObj: 16.69
300	Obj: 17.128,	F: 4.750,	Cf: 5.435,	Imb: 0.21,	Val: 4.272,	ValImb: 0.14,	ValObj: 13.59
400	Obj: 15.390,	F: 4.547,	Cf: 5.274,	Imb: 0.13,	Val: 4.193,	ValImb: 0.076,	ValObj: 12.97
500	Obj: 15.824,	F: 4.600,	Cf: 5.257,	Imb: 0.16,	Val: 4.144,	ValImb: 0.1,	ValObj: 12.64
600	Obj: 15.125,	F: 4.501,	Cf: 5.444,	Imb: 0.16,	Val: 4.144,	ValImb: 0.096,	ValObj: 12.78
700	Obj: 14.312,	F: 4.379,	Cf: 5.379,	Imb: 0.17,	Val: 4.041,	ValImb: 0.11,	ValObj: 12.18
800	Obj: 16.688,	F: 4.694,	Cf: 5.460,	Imb: 0.2,	Val: 4.260,	ValImb: 0.13,	ValObj: 13.49
900	Obj: 13.558,	F: 4.275,	Cf: 5.305,	Imb: 0.14,	Val: 3.952,	ValImb: 0.085,	ValObj: 11.72
1000	Obj: 12.881,	F: 4.174,	Cf: 4.894,	Imb: 0.13,	Val: 3.870,	ValImb: 0.074,	ValObj: 11.18
1100	Obj: 12.994,	F: 4.199,	Cf: 5.247,	Imb: 0.14,	Val: 3.981,	ValImb: 0.079,	ValObj: 11.71
1200	Obj: 11.910,	F: 4.048,	Cf: 5.074,	Imb: 0.13,	Val: 3.840,	ValImb: 0.076,	ValObj: 10.92
1300	Obj: 17.301,	F: 4.767,	Cf: 5.807,	Imb: 0.22,	Val: 4.353,	ValImb: 0.14,	ValObj: 14.25
1400	Obj: 15.757,	F: 4.592,	Cf: 5.074,	Imb: 0.13,	Val: 4.202,	ValImb: 0.075,	ValObj: 12.95
1500	Obj: 13.842,	F: 4.368,	Cf: 5.408,	Imb: 0.13,	Val: 4.099,	ValImb: 0.077,	ValObj: 12.20
1600	Obj: 15.066,	F: 4.510,	Cf: 5.100,	Imb: 0.12,	Val: 4.280,	ValImb: 0.066,	ValObj: 13.62
1700	Obj: 13.221,	F: 4.288,	Cf: 5.202,	Imb: 0.11,	Val: 4.044,	ValImb: 0.062,	ValObj: 11.79
1800	Obj: 12.491,	F: 4.155,	Cf: 4.903,	Imb: 0.11,	Val: 3.860,	ValImb: 0.063,	ValObj: 10.85
1900	Obj: 11.629,	F: 4.012,	Cf: 4.825,	Imb: 0.1,	Val: 3.759,	ValImb: 0.059,	ValObj: 10.31
